Surface,TypeSol,Localisation,Prix
12551,Argileux,Monastir,182077
15440,Alluvieux,Mahdia,132550
36087,Alluvieux,Bizerte,102618
48372,Alluvieux,Tunis,39482
19862,Calcaire,Mahdia,85977
35366,Alluvieux,Monastir,24538
47688,Calcaire,Sfax,127445
28058,Calcaire,Mahdia,98395
25977,Calcaire,Mahdia,91302
30827,Calcaire,Beja,182488
15017,Argileux,Sfax,135045
12095,Calcaire,Tunis,104735
8299,Calcaire,Bizerte,116488
38563,Argileux,Gabes,33532
29710,Argileux,Gabes,89913
23733,Argileux,Monastir,107634
9551,Calcaire,Gabes,35941
43345,Alluvieux,Sfax,197948
27253,Argileux,Mahdia,142177
22692,Calcaire,Kairouan,65168
46047,Calcaire,Kairouan,59222
49396,Argileux,Sousse,94996
42269,Calcaire,Sfax,57575
46669,Calcaire,Nabeul,99997
27786,Alluvieux,Kairouan,187283
42699,Argileux,Sousse,120258
19526,Calcaire,Sfax,125085
32062,Argileux,Mahdia,82565
43582,Argileux,Nabeul,29346
48146,Calcaire,Nabeul,36396
20801,Alluvieux,Bizerte,126938
6491,Calcaire,Gabes,176877
19062,Calcaire,Kairouan,174806
16655,Alluvieux,Tunis,135628
38124,Argileux,Beja,183126
40586,Calcaire,Kairouan,111839
17566,Argileux,Kairouan,85062
24523,Alluvieux,Gabes,122140
17445,Calcaire,Bizerte,112683
30288,Calcaire,Beja,141738
45262,Calcaire,Beja,100798
22766,Alluvieux,Kairouan,189143
39121,Argileux,Sousse,102857
6223,Calcaire,Sousse,135594
32269,Argileux,Gabes,103878
45468,Alluvieux,Tunis,141655
48649,Alluvieux,Gabes,21636
10212,Calcaire,Sfax,199097
46162,Alluvieux,Nabeul,65205
23473,Calcaire,Sfax,173116
13130,Calcaire,Sousse,170905
48865,Alluvieux,Kairouan,104320
5679,Alluvieux,Bizerte,130117
20129,Calcaire,Kairouan,139115
43704,Calcaire,Nabeul,137087
21144,Calcaire,Gabes,100982
12789,Calcaire,Gabes,93465
34547,Calcaire,Tunis,107896
5537,Alluvieux,Bizerte,198367
48646,Argileux,Tunis,143486
47531,Calcaire,Nabeul,149510
32429,Calcaire,Sfax,71038
32782,Calcaire,Gabes,95965
5624,Calcaire,Gabes,140638
5977,Alluvieux,Tunis,157156
32035,Alluvieux,Mahdia,21732
12458,Alluvieux,Sfax,71456
31904,Calcaire,Nabeul,150967
44211,Argileux,Gabes,38310
29012,Alluvieux,Beja,120021
18658,Argileux,Sfax,83087
14087,Alluvieux,Monastir,68299
36399,Calcaire,Mahdia,155673
8103,Calcaire,Nabeul,70597
46608,Calcaire,Sfax,49170
32665,Calcaire,Sfax,161195
15353,Calcaire,Sfax,149681
49897,Argileux,Sousse,20828
8605,Calcaire,Sfax,63176
41179,Argileux,Nabeul,58754
17363,Calcaire,Gabes,92705
27282,Calcaire,Monastir,174135
19594,Argileux,Nabeul,98985
41635,Alluvieux,Beja,106787
39571,Alluvieux,Kairouan,47090
21108,Calcaire,Bizerte,71102
35051,Calcaire,Tunis,53845
7763,Argileux,Beja,122787
23389,Argileux,Beja,52738
37603,Calcaire,Kairouan,37672
39387,Calcaire,Kairouan,95784
42200,Calcaire,Sousse,102290
40163,Alluvieux,Tunis,186155
29039,Calcaire,Gabes,83497
28047,Alluvieux,Nabeul,80252
49154,Alluvieux,Sfax,104706
43785,Calcaire,Monastir,140649
36825,Calcaire,Mahdia,147790
42216,Calcaire,Beja,112985
46641,Alluvieux,Tunis,170233
21911,Calcaire,Monastir,49664
21003,Argileux,Sfax,97750
34203,Alluvieux,Beja,187918
12107,Calcaire,Nabeul,179212
46417,Calcaire,Monastir,84900
26919,Alluvieux,Bizerte,113495
49762,Calcaire,Sousse,194839
28502,Argileux,Bizerte,106023
44803,Argileux,Tunis,128077
7746,Calcaire,Beja,167451
34198,Calcaire,Sfax,52410
10175,Argileux,Bizerte,188912
18651,Argileux,Bizerte,74639
35194,Calcaire,Gabes,22320
28807,Alluvieux,Tunis,173992
18988,Calcaire,Beja,56177
36899,Argileux,Mahdia,40030
6163,Calcaire,Mahdia,180832
6925,Argileux,Bizerte,183941
38979,Calcaire,Bizerte,79321
36963,Argileux,Mahdia,114248
37791,Calcaire,Nabeul,111772
11370,Calcaire,Nabeul,174990
43461,Alluvieux,Sousse,123584
23432,Calcaire,Sousse,107389
39659,Calcaire,Tunis,189483
34422,Argileux,Nabeul,139850
17838,Alluvieux,Gabes,183727
13780,Calcaire,Kairouan,106151
11524,Argileux,Tunis,121699
42978,Alluvieux,Kairouan,188307
30153,Alluvieux,Beja,36603
7436,Calcaire,Tunis,57283
40182,Calcaire,Sousse,144122
30522,Calcaire,Nabeul,190330
16618,Calcaire,Monastir,22056
32683,Calcaire,Kairouan,153256
22815,Alluvieux,Kairouan,187189
29353,Argileux,Monastir,66492
45049,Calcaire,Monastir,80727
14676,Argileux,Kairouan,105076
39609,Argileux,Gabes,190810
13764,Alluvieux,Tunis,68645
5193,Alluvieux,Beja,119753
18420,Argileux,Monastir,91919
31308,Argileux,Tunis,168293
8572,Argileux,Nabeul,92974
12474,Argileux,Tunis,42599
34372,Calcaire,Monastir,40672
45095,Argileux,Sousse,45809
39395,Argileux,Bizerte,60863
13262,Alluvieux,Bizerte,58385
10120,Argileux,Nabeul,178326
25432,Calcaire,Sousse,58711
23682,Calcaire,Sfax,45774
